model,scenario,timestamp,gpu_exp,success,final_score,driving_mile,complete_percentage,driving_time,decision_time,comfort_score,efficiency_score,safety_score,red_light_penalty,speed_limit_penalty,fail_penalty,exp_dir
VLMagentCloseLoop,curve,20250109_003211,gpu3_exp10,True,84.171,247.67,100.0,34.9,15.6140755740079,0.186,0.156,0.5,1.0,1.0,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu3_exp10
interfuser,roundabout,20250110_003814,gpu3_exp10,False,5.548,28.77,19.57,5.0,0.11968504652685048,0.095,0.205,0.5,1.0,0.59,0.6,interfuser_roundabout_20250110_003814_gpu3_exp10
PDM,roundabout,20250109_003211,gpu0_exp2,True,27.327,147.008,100.0,9.3,0.02342816798583321,0.034,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu0_exp2
VLMagentCloseLoop,ramp,20250109_003211,gpu3_exp9,True,46.853,192.728,100.0,23.2,8.535262357104909,0.166,0.161,0.5,0.7,0.81,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu3_exp9
VLMagentCloseLoop,ramp,20250109_003211,gpu2_exp8,True,48.376,192.728,100.0,23.5,13.53772229498083,0.179,0.174,0.5,0.7,0.81,1.0,VLMagentCloseLoop_ramp_20250109_003211_gpu2_exp8
PDM,roundabout,20250109_003211,gpu1_exp5,True,28.363,147.008,100.0,10.2,0.022297181705437083,0.063,0.25,0.5,1.0,0.349,1.0,PDM_roundabout_20250109_003211_gpu1_exp5
VLMagentCloseLoop,straight,20250109_003211,gpu0_exp1,False,28.868,246.939,72.219,36.0,9.519020452218896,0.196,0.221,0.5,1.0,0.727,0.6,VLMagentCloseLoop_straight_20250109_003211_gpu0_exp1
PDM,intersection,20250109_003211,gpu1_exp5,True,79.451,103.422,100.0,17.2,0.013776954851652446,0.166,0.191,0.5,1.0,0.928,1.0,PDM_intersection_20250109_003211_gpu1_exp5
PDM,straight,20250109_003211,gpu1_exp4,True,41.679,341.933,100.0,35.0,0.016799042081422997,0.141,0.244,0.475,1.0,0.485,1.0,PDM_straight_20250109_003211_gpu1_exp4
interfuser,ramp,20250110_003814,gpu1_exp5,True,56.887,192.728,100.0,25.3,0.1127575191240462,0.144,0.228,0.441,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu1_exp5
Limsimtm,straight,20250109_003211,gpu3_exp8,False,45.233,265.884,77.759,29.0,0.051894698824201314,0.249,0.221,0.5,1.0,1.0,0.6,Limsimtm_straight_20250109_003211_gpu3_exp8
Limsimtm,roundabout,20250109_003211,gpu0_exp1,True,62.891,147.008,100.0,18.0,0.06749855770784266,0.103,0.23,0.5,1.0,0.755,1.0,Limsimtm_roundabout_20250109_003211_gpu0_exp1
VLMagentCloseLoop,roundabout,20250109_003211,gpu3_exp9,True,62.212,147.008,100.0,21.4,9.39916377067566,0.126,0.207,0.5,1.0,0.746,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu3_exp9
PDM,intersection,20250109_003211,gpu0_exp1,True,79.238,103.422,100.0,16.6,0.013806090210423325,0.174,0.185,0.5,1.0,0.922,1.0,PDM_intersection_20250109_003211_gpu0_exp1
interfuser,roundabout,20250110_003814,gpu0_exp1,False,5.132,27.345,18.601,4.9,0.126122385263443,0.077,0.202,0.5,1.0,0.59,0.6,interfuser_roundabout_20250110_003814_gpu0_exp1
VLMagentCloseLoop,curve,20250109_003211,gpu3_exp8,True,83.263,247.67,100.0,34.4,9.38562864968271,0.174,0.158,0.5,1.0,1.0,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu3_exp8
interfuser,ramp,20250110_003814,gpu0_exp1,True,57.247,192.728,100.0,29.0,0.12333563372338106,0.145,0.241,0.432,0.7,1.0,1.0,interfuser_ramp_20250110_003814_gpu0_exp1
PDM,curve,20250109_003211,gpu0_exp2,True,54.784,247.67,100.0,24.4,0.017155874903800557,0.132,0.229,0.5,1.0,0.637,1.0,PDM_curve_20250109_003211_gpu0_exp2
Limsimtm,long,term_20250108,225630_gpu0_exp2,True,87.547,1002.987,100.0,136.6,0.059964246609631705,0.202,0.174,0.499,1.0,1.0,1.0,Limsimtm_long_term_20250108_225630_gpu0_exp2
VLMagentCloseLoop,intersection,20250109_003211,gpu3_exp9,True,75.557,103.422,100.0,25.5,9.282231658697128,0.219,0.074,0.5,1.0,0.953,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu3_exp9
PDM,ramp,20250109_003211,gpu3_exp10,True,72.728,192.728,100.0,31.4,0.012943068251442223,0.162,0.122,0.5,1.0,0.928,1.0,PDM_ramp_20250109_003211_gpu3_exp10
Limsimtm,straight,20250109_003211,gpu0_exp1,True,57.15,341.933,100.0,38.0,0.0828199257721772,0.212,0.241,0.5,1.0,0.599,1.0,Limsimtm_straight_20250109_003211_gpu0_exp1
PDM,intersection,20250109_003211,gpu2_exp6,True,79.538,103.422,100.0,16.2,0.013213187271023389,0.175,0.188,0.5,1.0,0.922,1.0,PDM_intersection_20250109_003211_gpu2_exp6
VLMagentCloseLoop,intersection,20250109_003211,gpu2_exp6,True,71.968,103.422,100.0,25.9,9.486598948637644,0.214,0.074,0.5,1.0,0.912,1.0,VLMagentCloseLoop_intersection_20250109_003211_gpu2_exp6
interfuser,long,term_20250110,003814_gpu3_exp10,True,55.687,1002.987,100.0,234.6,0.13544700110136573,0.181,0.232,0.416,0.7,0.96,1.0,interfuser_long_term_20250110_003814_gpu3_exp10
interfuser,long,term_20250110,003814_gpu0_exp2,True,39.353,1002.987,100.0,182.3,0.10826613599461075,0.171,0.171,0.495,0.49,0.96,1.0,interfuser_long_term_20250110_003814_gpu0_exp2
VLMagentCloseLoop,roundabout,20250109_003211,gpu2_exp8,True,69.737,147.008,100.0,21.8,19.289142191410065,0.124,0.207,0.5,1.0,0.839,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu2_exp8
Limsimtm,intersection,20250109_003211,gpu0_exp2,True,86.405,103.422,100.0,19.5,0.03360974161248458,0.212,0.152,0.5,1.0,1.0,1.0,Limsimtm_intersection_20250109_003211_gpu0_exp2
PDM,long,term_20250108,225630_gpu1_exp4,True,74.873,1002.987,100.0,178.1,0.017361768979704782,0.16,0.237,0.433,1.0,0.903,1.0,PDM_long_term_20250108_225630_gpu1_exp4
VLMagentCloseLoop,roundabout,20250109_003211,gpu2_exp7,True,52.537,147.008,100.0,20.4,12.106029460304661,0.112,0.199,0.5,1.0,0.648,1.0,VLMagentCloseLoop_roundabout_20250109_003211_gpu2_exp7
VLMagentCloseLoop,curve,20250109_003211,gpu0_exp2,True,51.192,247.67,100.0,26.4,10.00701813697815,0.173,0.184,0.416,1.0,0.662,1.0,VLMagentCloseLoop_curve_20250109_003211_gpu0_exp2
